"integrante","eu odeio...","força do ódio"

Alexandre, meu gato ficar me arranhando, médio
Alexandre, quando a luz acaba, máxima
Alexandre, quando internet cai, máxima
Alexandre, quando tem prova, máxima
Alexandre, tempo frio demais, médio
Bernardo,cabos p2 e p10, estragam muito fácil e ficam falhando,máxima
Bernardo,injustiça,tratar pessoas diferentemente por nada,máxima
Bernardo,narcisista se achento,máxima
Bernardo,tecnologia quando trava ou falha,zero
Bernardo,quando faço alguma coisa de manhã porque acabei de acordar e estou desastrado,médio
boça,nada,zero
